Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ŽUPAN;ZAGREBAČKA ŽUPANIJA;;ANA BOLŠEC;;FOKUS
ŽUPAN;ZAGREBAČKA ŽUPANIJA;;STJEPAN KOŽIĆ;;"HDZ, SKNL, ""365 STRANKA RADA I SOLIDARNOSTI"", HSU, HSLS, HNS"
ŽUPAN;ZAGREBAČKA ŽUPANIJA;;DOMAGOJ LOVRIĆ;;DOMOVINSKI POKRET - DP
ŽUPAN;ZAGREBAČKA ŽUPANIJA;;MIHAEL ZMAJLOVIĆ;;SDP, HSS
ŽUPAN;KRAPINSKO-ZAGORSKA ŽUPANIJA;;DAVOR DRETAR;;DOMOVINSKI POKRET - DP
ŽUPAN;KRAPINSKO-ZAGORSKA ŽUPANIJA;;ANĐELKO FEREK-JAMBREK;;HNS, REFORMISTI, HSS BRAĆE RADIĆ
ŽUPAN;KRAPINSKO-ZAGORSKA ŽUPANIJA;;ŽELJKO KOLAR;;SDP, HSS, HSU
ŽUPAN;KRAPINSKO-ZAGORSKA ŽUPANIJA;;ERNEST SVAŽIĆ;;HDZ, A - HSS, HSLS, SU, ZDS
ŽUPAN;SISAČKO-MOSLAVAČKA ŽUPANIJA;;DANIEL BERDAIS;;SDP, CENTAR, LABURISTI, HDRS, Zelena alternativa - ORaH
ŽUPAN;SISAČKO-MOSLAVAČKA ŽUPANIJA;;IVAN CELJAK;;HDZ, HSLS, HSS, HSP, HKS, HNS, HSU
ŽUPAN;SISAČKO-MOSLAVAČKA ŽUPANIJA;;LUCA GAŠPAR ŠAKO;;MOST
ŽUPAN;SISAČKO-MOSLAVAČKA ŽUPANIJA;;ADELINA IVKOVIĆ;;NARODNA STRANKA - REFORMISTI - REFORMISTI
ŽUPAN;SISAČKO-MOSLAVAČKA ŽUPANIJA;;DAMIR MARKUŠ;;DOMOVINSKI POKRET - DP
ŽUPAN;SISAČKO-MOSLAVAČKA ŽUPANIJA;;IVO ŽINIĆ;;IVO ŽINIĆ - KANDIDAT GRUPE BIRAČA
ŽUPAN;KARLOVAČKA ŽUPANIJA;;MARTINA FURDEK-HAJDIN;;HDZ, HSLS
ŽUPAN;KARLOVAČKA ŽUPANIJA;;DAVID GORUP;;ŽIVI ZID
ŽUPAN;KARLOVAČKA ŽUPANIJA;;VLATKO IVKA;;DOMOVINSKI POKRET - DP
ŽUPAN;KARLOVAČKA ŽUPANIJA;;STJEPAN MIKULANDRIĆ;;SDP, HSS
ŽUPAN;VARAŽDINSKA ŽUPANIJA;;BARBARA ANTOLIĆ VUPORA;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ŽUPAN;VARAŽDINSKA ŽUPANIJA;;RADIMIR ČAČIĆ;;REFORMISTI, UMIROVLJENICI
ŽUPAN;VARAŽDINSKA ŽUPANIJA;;MARIO LEŠINA;;MARIO LEŠINA - KANDIDAT GRUPE BIRAČA
ŽUPAN;VARAŽDINSKA ŽUPANIJA;;KRUNOSLAV LUKAČIĆ;;HNS, HSS BRAĆE RADIĆ, DKS, BUZ
ŽUPAN;VARAŽDINSKA ŽUPANIJA;;DENIS MLADENOVIĆ;;MOST, HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU
ŽUPAN;VARAŽDINSKA ŽUPANIJA;;DARKO NOVOSELEC;;DOMOVINSKI POKRET - DP
ŽUPAN;VARAŽDINSKA ŽUPANIJA;;ANĐELKO STRIČAK;;HDZ, HSLS, HSU
ŽUPAN;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;;MIRJANA HANŽEKOVIĆ;;DOMOVINSKI POKRET - DP
ŽUPAN;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;;MLADEN KEŠER;;SDP, HSLS, GLAS
ŽUPAN;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;;DARKO KOREN;;MREŽA, HDZ
ŽUPAN;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;;ŽELJKO LACKOVIĆ;;NEZAVISNI
ŽUPAN;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;;ZDRAVKO MATOTAN;;ZDRAVKO MATOTAN - KANDIDAT GRUPE BIRAČA
ŽUPAN;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;DAMIR BAJS;;DAMIR BAJS NL, HSU, SU, BUZ, HNS, DEMOKRATI, REFORMISTI, NSH, GLAS, HSS BRAĆE RADIĆ, HSS
ŽUPAN;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;IVAN BELJAN;;DEMOKRATSKI HSS - DHSS
ŽUPAN;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;DUBRAVKA DRAGAŠEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPAN;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;SANDRA FRČO;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ŽUPAN;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;MARKO MARUŠIĆ;;HDZ, HSLS
ŽUPAN;PRIMORSKO-GORANSKA ŽUPANIJA;;MARKO BORAS MANDIĆ;;AM, UNIJA
ŽUPAN;PRIMORSKO-GORANSKA ŽUPANIJA;;GARI CAPPELLI;;HDZ, HSLS
ŽUPAN;PRIMORSKO-GORANSKA ŽUPANIJA;;MARINKO KOLJANIN;;RI, KVARNERSKA, SU
ŽUPAN;PRIMORSKO-GORANSKA ŽUPANIJA;;ZLATKO KOMADINA;;SDP, PGS, IDS, HSU, HSS
ŽUPAN;PRIMORSKO-GORANSKA ŽUPANIJA;;LEONARDO PAVELA;;MOST
ŽUPAN;PRIMORSKO-GORANSKA ŽUPANIJA;;IVA RINČIĆ;;IVA RINČIĆ - KANDIDATKINJA GRUPE BIRAČA
ŽUPAN;LIČKO-SENJSKA ŽUPANIJA;;STIPO LUKAČ;;DOMOVINSKI POKRET - DP
ŽUPAN;LIČKO-SENJSKA ŽUPANIJA;;DARKO MILINOVIĆ;;LiPO
ŽUPAN;LIČKO-SENJSKA ŽUPANIJA;;ERNEST PETRY;;HDZ, HSS, HSU, HBS
ŽUPAN;LIČKO-SENJSKA ŽUPANIJA;;DANIJEL TUŠAK;;DANIJEL TUŠAK - KANDIDAT GRUPE BIRAČA
ŽUPAN;LIČKO-SENJSKA ŽUPANIJA;;TOMISLAV ZRINSKI;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ŽUPAN;VIROVITIČKO-PODRAVSKA ŽUPANIJA;;IGOR ANDROVIĆ;;HDZ, HSLS
ŽUPAN;VIROVITIČKO-PODRAVSKA ŽUPANIJA;;DANIEL SPAJIĆ;;DP, MOST, HSU, SU, ZELENA LISTA
ŽUPAN;VIROVITIČKO-PODRAVSKA ŽUPANIJA;;MATE VUKUŠIĆ;;SDP, HSPD
ŽUPAN;POŽEŠKO-SLAVONSKA ŽUPANIJA;;ANTONIJA JOZIĆ;;HDZ, HSU
ŽUPAN;POŽEŠKO-SLAVONSKA ŽUPANIJA;;JOSIP REĐO;;DP, MOST
ŽUPAN;POŽEŠKO-SLAVONSKA ŽUPANIJA;;LUKA SAMARDŽIJA;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ŽUPAN;BRODSKO-POSAVSKA ŽUPANIJA;;DANIJEL MARUŠIĆ;;HDZ, HKS, HSP
ŽUPAN;BRODSKO-POSAVSKA ŽUPANIJA;;ROBERT MATIĆ;;MOST
ŽUPAN;BRODSKO-POSAVSKA ŽUPANIJA;;TEA TOMAS;;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL
ŽUPAN;BRODSKO-POSAVSKA ŽUPANIJA;;MARIO VUČINIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ŽUPAN;BRODSKO-POSAVSKA ŽUPANIJA;;RUŽICA VUKOVAC;;DOMOVINSKI POKRET - DP
ŽUPAN;ZADARSKA ŽUPANIJA;;ĐANI BUNJA;;MOST
ŽUPAN;ZADARSKA ŽUPANIJA;;NENAD KLARIĆ;;DOMOVINSKI POKRET - DP
ŽUPAN;ZADARSKA ŽUPANIJA;;BOŽIDAR LONGIN;;HDZ, HSP, SU, REFORMISTI
