Vrsta izbora;Naziv županije;Naziv grada/općine;rbr;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;1;DOMAGOJ LOVRIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;2;BARBARA KNEŽEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;3;DAMIR ČIČKO;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;4;ANTONIO MARINA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;5;LJILJANA MAVRAČIĆ TIŠMA;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;6;LUKA TKALČEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;7;BRANKO CIKOJEVIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;8;RUŽA MILETIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;9;MAKSIMILIJAN JAREC;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;10;ZDENKO JURAK;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;11;KRUNOSLAV HRVAČIĆ;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;12;IVICA KAURIN;;DOMOVINSKI POKRET - DP
ŽUPANIJSKA SKUPŠTINA;ZAGREBAČKA ŽUPANIJA;;13;CHRISTIAN VARGA;;DOMOVINSKI POKRET - DP
