"Šifra";"Naziv";"Župnija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"17-447-001";"Osnovna škola SELCA";"Splitsko-dalmatinska županija";"21425";"Selca";"ŠETALIŠTE RAJKA ŠTAMBUKA 2";"Osnovna škola";"Splitsko-dalmatinska županija";"Ivica  Škrpaca";"021/622-055, 021/622-055, 021/622-055";"021/622-706";"os-selca@st.t-com.hr";""
"17-448-001";"Osnovna škola Kneza Branimira";"Splitsko-dalmatinska županija";"21203";"Donji Muć";"Donji Muć 218";"Osnovna škola";"Splitsko-dalmatinska županija";"Lidija  Zekan";"021/652-114, 021/660-207";"021/652-114";"ured@os-kneza-branimira-donjimuc.skole.hr";"http://os-kneza-branimira-donjimuc.skole.hr/"
"17-448-002";"Osnovna škola Neorić-Sutina";"Splitsko-dalmatinska županija";"21247";"Neorić";"NEORIĆ 43";"Osnovna škola";"Splitsko-dalmatinska županija";"Nada  Dundović";"021/666-108, 021/660-205, 021/660-206";"";"neoric@os-neoric-sutina.skole.hr";"www.os-neoric-sutina.skole.hr"
"17-448-003";"Osnovna škola BRAĆE RADIĆA";"Splitsko-dalmatinska županija";"21203";"Bračević";"Vrba I 11";"Osnovna škola";"Splitsko-dalmatinska županija";"Marin  Vuletin";"021/810-174";"021/810-174";"ured@os-brace-radica-bracevic.skole.hr";""
"17-449-001";"OSNOVNA ŠKOLA JESENICE";"Splitsko-dalmatinska županija";"21315";"Dugi Rat";"ĐAČKI PUT 10";"Osnovna škola";"Splitsko-dalmatinska županija";"Iva  Petričević";"021/734-625, 021/735-095";"021/734-625";"ured@os-jesenice-dugirat.skole.hr";""
"17-450-001";"OSNOVNA ŠKOLA GROHOTE";"Splitsko-dalmatinska županija";"21430";"Grohote";"Podkuća 28";"Osnovna škola";"Splitsko-dalmatinska županija";"Mirela  Mijić";"021/654-112, 021/717-037";"021/717-037";"ured@os-grohote-solta.skole.hr";"http://os-grohote-solta.skole.hr"
"17-451-001";"OSNOVNA ŠKOLA DINKA ŠIMUNOVIĆA";"Splitsko-dalmatinska županija";"21233";"Hrvace";"HRVACE 225";"Osnovna škola";"Splitsko-dalmatinska županija";"Zorka  Buljac";"021/829-002, 021/829-002";"021/829-002";"ossimunovic@skolahrvace.hr";""
"17-452-001";"Osnovna škola TIN UJEVIĆ";"Splitsko-dalmatinska županija";"21263";"Krivodol";"Ivana Pavla II. 16";"Osnovna škola";"Splitsko-dalmatinska županija";"Marijo  Karin";"021 635 038, 021/670-177";"021/670177";"ured@os-tujevic-krivodol.skole.hr";""
"17-453-001";"Osnovna škola Ivana Gorana Kovačića";"Splitsko-dalmatinska županija";"21244";"Cista Velika";"Cesta Dr.Franje Tuđmana 60 21244 CISTA VELIKA";"Osnovna škola";"Splitsko-dalmatinska županija";"Ivan  Pleić";"021/726-155, 021/670-093";"021/726-155";"ured@os-igkovacica-cistavelika.skole.hr";"www.os-igkovacica-cistavelika.skole.hr"
"17-453-002";"Osnovna škola Josipa Jovića";"Splitsko-dalmatinska županija";"21246";"Aržano";"Ulica Petra Žaje 2";"Osnovna škola";"Splitsko-dalmatinska županija";"Frano  Bilić-Prcić";"021724008, 021/724-008";"021/724-008";"ured@os-jjovica.skole.hr";"http://os-jjovica.skole.hr"
