naziv	zupanija	mjesto	adresa	ravnatelj	web	ravnatelj_spol
SREDNJA STRUKOVNA ŠKOLA	Zagrebačka županija	Samobor	ANDRIJE HEBRANGA 26	Davor  Škiljan	NA	m
SREDNJA ŠKOLA KRAPINA	Krapinsko-zagorska županija	Krapina	ŠETALIŠTE HRVATSKOG NARODNOG PREPORODA 6	Ivica  Rozijan	NA	m
SREDNJA ŠKOLA TINA UJEVIĆA	Sisačko-moslavačka županija	Kutina	MATE LOVRAKA 3	Saša  Sambolek	www.ss-tujevic-kt.skole.hr	m
TEHNIČKA ŠKOLA KUTINA	Sisačko-moslavačka županija	Kutina	HRVATSKIH BRANITELJA 6	Ante  Dževlan	NA	m
Strukovna škola Sisak	Sisačko-moslavačka županija	Sisak	LAĐARSKA 1	Ivica  Beloglavec	NA	m
Tehnička škola Sisak	Sisačko-moslavačka županija	Sisak	MARIJANA CVETKOVIĆA 2	Davor  Malović	NA	m
PRVA PRIVATNA GIMNAZIJA S PRAVOM JAVNOSTI VARAŽDIN	Varaždinska županija	Varaždin	Frana Supila 22	Nives  Risek	NA	z
OBRTNIČKA ŠKOLA KOPRIVNICA	Koprivničko-križevačka županija	Koprivnica	TRG SLOBODE 7	Zlatko  Martić	NA	m
SREDNJA GOSPODARSKA ŠKOLA KRIŽEVCI	Koprivničko-križevačka županija	Križevci	MILISLAVA DEMERCA 1	Toni  Svoboda	http:://www.ss-gospodarska-kc.skole.hr	m
TEHNIČKA ŠKOLA BJELOVAR	Bjelovarsko-bilogorska županija	Bjelovar	DOKTORA ANTE STARČEVIĆA 24	Ante  Šola	http://ss-tehnicka-bj.skole.hr/	m
SREDNJA ŠKOLA ČAZMA	Bjelovarsko-bilogorska županija	Čazma	LIVADARSKA 30	Željko  Kralj	NA	m
SREDNJA TALIJANSKA ŠKOLA - RIJEKA SCUOLA MEDIA SUPERIORE ITALIANA - FIUME	Primorsko-goranska županija	Rijeka	ERAZMA BARČIĆA 6	Michele  Scalembra	NA	m
PRVA RIJEČKA HRVATSKA GIMNAZIJA	Primorsko-goranska županija	Rijeka	Frana Kurelca 1	Jane  Sclaunich	NA	z
SREDNJA ŠKOLA ANDRIJE LJUDEVITA ADAMIĆA	Primorsko-goranska županija	Rijeka	ŠETALIŠTE XIII. DIVIZIJE 68	Denis  Khermayer	www.ss-adamic.com	z
