"mbu";"Naziv Ustanove";"Nadredjena Ustanova";"Vrsta Ustanove";"Upisnik";"Adresa";"Mjesto";"Telefon";"Faks";"e Posta";"URL";"Celnik"
215;"Umjetnička akademija, Split ";"Sveučilište u Splitu";"Umjetnička akademija";"Znanstvena ustanova i visoko učilište";"Zagrebačka 3                                            ";"SPLIT";"(+385 21) 360 178                                                                                 ";"(+385 21) 344 043                                                                                  ";"office@umas.hr                                                                                     ";"www.umas.unist.hr                                                                                   ";"dekan izv. prof. art. Edvin Dragičević"
216;"Medicinski fakultet, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Šoltanska 2                                                 ";"SPLIT";"(+385 21) 557 900                                                                                   ";"(+385 21) 557 625                                                                                   ";"office@mefst.hr                                                                                     ";"www.mefst.unist.hr";"dekan prof. dr. sc. Ante Tonkić"
217;"Zdravstveno veleučilište, Zagreb";"";"Veleučilište";"Znanstvena ustanova i visoko učilište";"Mlinarska cesta 38                                          ";"ZAGREB";"(+385 1) 5495 800";"(+385 1) 5495 900";"tajnistvo@zvu.hr";"www.zvu.hr";"dekan prof. dr. sc. Krešimir Rotim"
219;"Medicinski fakultet, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Josipa Huttlera 4                                           ";"OSIJEK";"(+385 31) 512 800";"(+385 31) 512 833";"medicina@mefos.hr";"www.mefos.unios.hr";"dekan prof. dr. sc. Jure Mirat"
226;"Fakultet hrvatskih studija, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Borongajska cesta 83d";"ZAGREB";"(+385 1) 2457 600";"(+385 1) 2457 636";"pbarisic@hrstud.hr";"www.fhs.unizg.hr";"dekan prof. dr. sc. Stjepan Ćosić"
227;"Učiteljski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Savska cesta 77                                             ";"ZAGREB";"(+385 1) 6327-301, 6327-300                                                                        ";"(+385 1) 6177 860                                                                                   ";"dekanat@ufzg.hr ";"www.ufzg.unizg.hr ";"dekan prof. dr. sc. Siniša Opić"
291;"Sveučilište u Osijeku - Odjel za kemiju";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Cara Hadrijana 8/A                                      ";"OSIJEK";"(+385 31) 399 950 ";"(+385 31) 399 969";"info@kemija.unios.hr";"www.kemija.unios.hr";"pročelnica doc. dr. sc. Elvira Kovač-Andrić"
294;"Veleučilište u Šibeniku";"";"Veleučilište";"Visoko učilište";"Trg Andrije Hebranga 11                                     ";"ŠIBENIK";"(+385 22) 311 060";"(+385 22) 216 716";"dekanat@vus.hr";"www.vus.hr";"dekan dr. sc. Ljubo Runjić"
295;"RRIF Visoka škola za financijski menadžment, Zagreb";"";"Visoka škola";"Visoko učilište";"Martićeva 29                                               ";"ZAGREB";"(+385 1) 4699 735";"(+385 1) 4699 736                                                                                 ";"visoka-skola@rrif.hr                                                                                ";"www.visoka-skola-rrif.hr                                                                            ";"dekanica dr. sc. Đurđica Jurić"
296;"Veleučilište ""Nikola Tesla"" u Gospiću";"";"Veleučilište";"Visoko učilište";"Ulica bana Ivana Karlovića 16                               ";"GOSPIĆ";"(+385 53) 676 321";"(+385 53) 573 076";"ured.dekana@velegs-nikolatesla.hr";"www.velegs-nikolatesla.hr";"dekanica dr. sc. Vlatka Ružić"
297;"Visoka škola za informacijske tehnologije, Zagreb";"";"Visoka škola";"Visoko učilište";"Klaićeva 7";"ZAGREB";"(385 1)  3764 200";"(385 1) 3764 264";"referada@vsite.hr";"www.vsite.hr";"dekan mr. sc. Milan Davidović"
299;"Učiteljski fakultet, Rijeka";"Sveučilište u Rijeci";"Fakultet";"Visoko učilište";"Sveučilišna avenija 6                                     ";"RIJEKA";"(+385 51) 265 800";"(+385 51) 584 999";"dekanat@ufri.hr";"www.ufri.uniri.hr";"dekan prof. dr. sc. Lidija Vujičić"
301;"Poslovno veleučilište Zagreb";"";"Veleučilište";"Visoko učilište";"Ulica grada Vukovara 68                                     ";"ZAGREB";"(+385 1) 6310 844; 6310 888";"(+385 1) 6310 628";"pvzg@pvzg.hr";"www.pvzg.hr";"dekan dr. sc. Lukša Lulić"
303;"Sveučilište Jurja Dobrile u Puli ";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Zagrebačka ulica 30                                            ";"PULA";"(+385 52) 377 000";"(+385 52) 216 416";"ured@unipu.hr";"www.unipu.hr";"dekan prof. dr. sc. Alfio Barbieri"
