"Naziv";"Adresa";"Postanski Broj";"Mjesto";"Zupanija";"Telefon";"e Posta"
"Program predškole pri OŠ Josipa Kozarca Semeljci";"Školska 21";"31402";"Semeljci";"Osječko-baranjska županija ";"031/856-081: 856 840; 856 855";"skola@os-jkozarca-semeljci.skole.hr"
"Dječji vrtić ""Bubamara""";"Braće Radića 140";"31500";"Našice";"Osječko-baranjska županija ";"031/614-040";"djecji.vrtic.bubamara.nasice@gmail.com"
"Dječji vrtić ""Potočnica""- jaslice";"J.J.Strossmayera 82";"31500";"Našice";"Osječko-baranjska županija ";"095/876-4899";"jaslice.potocnica@gmail.com"
"Prosvjetno-kulturni centar Mađara u Republici Hrvatskoj - DV ""Bobita""";"Drinska 12a";"31000";"Osijek";"Osječko-baranjska županija ";"031/274-340, 274 - 339";"hmomk@pkcm.hr"
"Dječji vrtić Mali princ";"N. Š. Zrinskog 3";"31220";"Višnjevac";"Osječko-baranjska županija ";"031/658-994";"maliprinc031@gmail.com"
"Dječji vrtić ""Zvrk""";"Katarine Zrinski 11";"31400";"Đakovo";"Osječko-baranjska županija ";"031/822-358";"vrticzvrk@gmail.com"
"Dječji vrtić Šibenska maslina";"Ulica branitelja Domovinskog rata 2G";"22000";"Šibenik";"Šibensko-kninska županija ";"022/332-324";"djecji.vrtic@dv-simaslina.com"
"Dječji vrtić ""Drniš""";"Antuna Mihanovića 2";"22320";"Drniš";"Šibensko-kninska županija ";"022/886-303";"dv.drnis@si.t-com.hr"
"Dječji vrtić ""Cvrčak"" Knin";"Ul. kraljice Jelene 3";"22300";"Knin";"Šibensko-kninska županija ";"022/663-720,  022/663-118";"ravnateljica@dvcvrcak.hr"
"Dječji vrtić Tamaris Vodice";"Fra Pija Fržopa 2";"22211";"Vodice";"Šibensko-kninska županija ";"022/444-571";"ravnateljicatina@dvtamaris.hr"
"Dječji vrtić Spužvica";"Put Luke 2b";"22240";"Tisno";"Šibensko-kninska županija ";"022/438-576";"ravnateljica@djecjivrticspuzvica-tisno.hr"
"Dječji vrtić ""Oršula""";"Vinka Maglice 10";"22000";"Dubrava Kod Šibenika";"Šibensko-kninska županija ";"099/6847517";
"Dječji vrtić ""Žižula""";"Žaborićka 3/E";"22000";"Dubrava Kod Šibenika";"Šibensko-kninska županija ";"022/333-193 ;  098/1790854";"info@zizula.hr; zorana.ivic@zizula.hr"
"Dječji vrtić ""Osmijeh""";"Ul. Martina Kolunića 2a";"22000";"Šibenik";"Šibensko-kninska županija ";"022/333-036";"djecji.vrtic.osmijeh@si.t-com.hr"
"Dječji vrtić Sunce";"Gomljanik 41";"22000";"Brodarica";"Šibensko-kninska županija ";"022/351171";"info@vrtic-sunce.hr"
"Kraći program predškole pri OŠ Kistanje";"Dr. Franje Tuđmana 8";"22300";"Kistanje";"Šibensko-kninska županija ";"022/ 763 600";"ured@os-kistanje.skole.hr; smstrucic@gmail.com"
"Dječji vrtić Vinkovci";"J. J. Strossmayera 7";"32100";"Vinkovci";"Vukovarsko-srijemska  županija ";"032/304-260 ; 099 40 47 572";"dv-vinkovci@vk.ht.hr"
"PU ""Vedri dani""";"Školska 15";"32284";"Stari Mikanovci";"Vukovarsko-srijemska  županija ";"032/210-056";"vrtic.vedridani@vu.t-com.hr"
"Dječji vrtić ""Vukovar I.""";"E. Kvaternika 27";"32000";"Vukovar";"Vukovarsko-srijemska  županija ";"032/414-709";"tajnistvo@djecjivrticvukovar1.hr "
"Dječji vrtić ""Vukovar II""";"Alojzija Stepinca 46";"32000";"Vukovar";"Vukovarsko-srijemska  županija ";"032/441-288, 032/441-608";"ravnateljica@dv-vukovar2.hr"
"Dječji vrtić ""Maslačak""";"Franje Račkoga 18b";"32270";"Županja";"Vukovarsko-srijemska  županija ";"032/831-112";"info@dvmaslacak.hr"
"Dječji vrtić Ivankovo";"Rojičani 85a";"32281";"Ivankovo";"Vukovarsko-srijemska  županija ";"032/443654   ";"ravnatelj.dvivankovo@gmail.com   "
"DV ""Pupoljak""";"Trg kralja Tomislava 3";"32252";"Otok";"Vukovarsko-srijemska  županija ";"032/200-459, 554-284";"vrtic@pu-pupoljak.hr"
"Dječji vrtić ""Vrtuljak""";"Ulica breza 2";"32221";"Nuštar";"Vukovarsko-srijemska  županija ";"032/386-007";"vrtuljak5@gmail.com"
"Dječji vrtić ""Crvenkapica""";"Trg sv. I. Kapistran";"32236";"Ilok";"Vukovarsko-srijemska  županija ";"032/591-019";"anka.d.v.crvenkapica@gmail.com; ravnateljica@dv-crvenkapica-ilok.hr"
"Dječji vrtić ""Kolijevka""";"Izidora Kršnjavog 15";"32100";"Vinkovci";"Vukovarsko-srijemska  županija ";"032/354-377";"d.v.kolijevka@gmail.com"
"Dječji vrtić Zlatokosa Borovo";"Nikole Tesle bb";"32227";"Borovo";"Vukovarsko-srijemska  županija ";"032/439-542";"djecji.vrtic.zlatokosa@vu.t-com.hr"
"Program predškolskog odgoja pri OŠ Negoslavci";"Petrovačka 2";"32000";"Negoslavci";"Vukovarsko-srijemska  županija ";"032/517-977";"ured@os-negoslavci.skole.hr"
"Dječji vrtić ""Liliput-Trpinja""";"Mitrovićeva 12A";"32224";"Bobota";"Vukovarsko-srijemska  županija ";"032/560-128";"liliput-trpinja032@net.hr"
"Dječji vrtić ""Eden""";"Ervenička 1";"32100";"Vinkovci";"Vukovarsko-srijemska  županija ";"098/922-2055, 032/364-232";"kdv.eden@gmail.com"
"Dječji vrtić ""Trnoružica""";"Lipa 12";"32100";"Vinkovci";"Vukovarsko-srijemska  županija ";"032/354-318";"turicdragana@gmail.com ; dvtrnoruzicavk@gmail.com"
"Program predškole pri OŠ Ivana Filipovića";"Ante Starčevića 1";"32262";"Račinovci";"Vukovarsko-srijemska  županija ";"032/876-001";"ured@os-ifilipovic-racinovci.skole.hr"
"Program predškole pri OŠ „Franjo Hanaman“ ";"ISTREV 2";"32260";"Drenovci";"Vukovarsko-srijemska  županija ";"032862834";"  ured@os-fhanaman-drenovci.skole.hr "
"Program predškole pri OŠ Davorina Trstenjaka";"Matije Gupca 160";"32258";"Posavski Podgajci";"Vukovarsko-srijemska  županija ";"032/867-005";"ured@os-dtrstenjak-podgajci-posavski.skole.hr"
"Program predškole pri OŠ Mara Švel - Gamiršek";"Matije Gupca 23";"32254";"Vrbanja";"Vukovarsko-srijemska  županija ";"032/864-993";"ured@os-msgamirsek-vrbanja.skole.hr"
"Kraći program rada - igraonica pri udruzi Društvu Naša djeca";"Alojzija Stepinca 48";"32000";"Vukovar";"Vukovarsko-srijemska  županija ";"032/442-202";"drustvo-nasa-djeca@vk.t-com.hr"
"Program predškole pri OŠ Josip Kozarac Soljani";"Tomislavova 5a";"32255";"Soljani";"Vukovarsko-srijemska  županija ";"032/865-018";"ured@os-jkozarac-soljani.skole.hr"
"Program predškolskog odgoja pri OŠ F. B. T. Leakovića";"Braće Radića 38a";"32270";"Bošnjaci";"Vukovarsko-srijemska  županija ";"032/845-502";"ured@os-btleakovica-bosnjaci.skole.hr"
"Dječji vrtić ""Osmijeh""";"Bogoslava Šuleka 10";"43000";"Bjelovar";"Bjelovarsko-bilogorska županija ";"043/492-123";"djecjivrticosmijehbj@gmail.com"
"Dječji vrtić ""Radost""";"Hercegovačka 22";"21000";"Split";"Splitsko-dalmatinska županija ";"021/541 170";"dv_radost@vrtic-radost.hr"
"Dječji vrtić ""Grigor Vitez""";"Kliška 4";"21000";"Split";"Splitsko-dalmatinska županija ";"021/362721     360005      344";"vrtic@dv-grigorvitez.hr"
"Dječji vrtić ""Marjan""";"Put Sv. Mande 11";"21000";"Split";"Splitsko-dalmatinska županija ";"021/396-275 / 396 276";"dv-marjan@st.t-com.hr"
"Dječji vrtić ""Cvrčak""";"Ulica kralja Zvonimira 71";"21210";"Solin";"Splitsko-dalmatinska županija ";"021/213-309 ; 091/438-1000";"info@djecjivrtic-cvrcaksolin.hr"
"Dječji vrtić ""Kaštela""";"Ulica Birnja 13";"21217";"Kaštel Stari";"Splitsko-dalmatinska županija ";"021/225-480";"vrtic.kastel@inet.hr"
"Dječji vrtić ""Trogir""";"Ulica Svetog Petra 8";"21220";"Trogir";"Splitsko-dalmatinska županija ";"021/881-271";"djecji-vrtic.trogir@st.t-com.hr"
"Dječji vrtić ""Marina""";"Ante Rudana 47";"21222";"Marina";"Splitsko-dalmatinska županija ";"021/889-000";"djeciji.vrtic.marina@st.t-com.hr"
"Dječji vrtić ""Omiš""";"Put mostine bb";"21310";"Omiš";"Splitsko-dalmatinska županija ";"021/862-603";"djecji.vrtic.omis1@st.t-com.hr"
"Dječji vrtić ""Bili Cvitak""";"Ante Konstantina Matasa 8";"21230";"Sinj";"Splitsko-dalmatinska županija ";"021/825-617";"djecji.vrtic.bili.cvitak.sinj@st.t-com.hr; dolic.nediljka11@gmail.com"
"Dječji vrtić ""Žabica""";"Trg Franje Tuđmana 4";"21238";"Otok";"Splitsko-dalmatinska županija ";"021/834-977";"djecji.vrtic.zabica.otok@st.t-com.hr"
"Dječji vrtić ""Imotski""";"Ulica Fra Stjepana Vrljića 15";"21260";"Imotski";"Splitsko-dalmatinska županija ";"021/843-310";"djecji.vrtic.imotski@st.t-com.hr"
