"mbu";"Naziv Ustanove";"Nadredjena Ustanova";"Vrsta Ustanove";"Upisnik";"Adresa";"Mjesto";"Telefon";"Faks";"e Posta";"URL";"Celnik"
214;"Klinički bolnički centar Zagreb";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Šalata 2                                                    ";"ZAGREB";"(+385 1) 2368 987, (+385 1) 2368 729           ";"(+385 1) 2379 922";"ravnatelj@kbc-zagreb.hr, klinicki.bolnicki.centar.zagreb@kbc-zagreb.hr";"www.kbc-zagreb.hr";"ravnatelj Akademik Željko Reiner"
215;"Umjetnička akademija, Split ";"Sveučilište u Splitu";"Umjetnička akademija";"Znanstvena ustanova i visoko učilište";"Zagrebačka 3                                            ";"SPLIT";"(+385 21) 360 178                                                                                 ";"(+385 21) 344 043                                                                                  ";"office@umas.hr                                                                                     ";"www.umas.unist.hr                                                                                   ";"dekan izv. prof. art. Edvin Dragičević"
216;"Medicinski fakultet, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Šoltanska 2                                                 ";"SPLIT";"(+385 21) 557 900                                                                                   ";"(+385 21) 557 625                                                                                   ";"office@mefst.hr                                                                                     ";"www.mefst.unist.hr";"dekan prof. dr. sc. Ante Tonkić"
217;"Zdravstveno veleučilište, Zagreb";"";"Veleučilište";"Znanstvena ustanova i visoko učilište";"Mlinarska cesta 38                                          ";"ZAGREB";"(+385 1) 5495 800";"(+385 1) 5495 900";"tajnistvo@zvu.hr";"www.zvu.hr";"dekan prof. dr. sc. Krešimir Rotim"
218;"Akademija medicinskih znanosti";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Praška 2/III. , Zagreb";"ZAGREB";"(+385 1) 4828 662                                                                                ";"(+385 1) 4828 038                              ";"amzh@zg.t-com.hr                                                                                    ";"www.amzh.hr                                                                                        ";"ravnateljica prof. dr. sc. Jasna Lipozenčić"
219;"Medicinski fakultet, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Josipa Huttlera 4                                           ";"OSIJEK";"(+385 31) 512 800";"(+385 31) 512 833";"medicina@mefos.hr";"www.mefos.unios.hr";"dekan prof. dr. sc. Jure Mirat"
220;"Centar za kliničku primjenu neuroznanosti";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Šalata 10                                                   ";"ZAGREB";"(+385 1) 4596 868        ";"(+385 1) 4596 945                                   ";"ckpn@hiim.hr";;"ravnatelj doc. dr. sc. Mario Vukšić"
221;"Hrvatski hidrografski institut";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Zrinsko Frankopanska 161                                    ";"SPLIT";"(+385 21) 308 800";"(+385 21) 347 242               ";"office@hhi.hr";"www.hhi.hr";"ravnatelj dr.sc. Zvonko Gržetić"
223;"Poliklinika Aviva";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Nemetova 2                                                  ";"ZAGREB";"(+385 1) 4693 101     ";"(+385 1) 4693 110";"vida.demarin@poliklinika-nemetova.hr                                       ";;"Medicinski direktor akademkinja Vida Demarin"
226;"Fakultet hrvatskih studija, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Borongajska cesta 83d";"ZAGREB";"(+385 1) 2457 600";"(+385 1) 2457 636";"pbarisic@hrstud.hr";"www.fhs.unizg.hr";"dekan prof. dr. sc. Stjepan Ćosić"
290;"Fidelta d.o.o.";"";"Znanstveni institut";"Znanstvena ustanova";"Prilaz baruna Filipovića 29                                 ";"ZAGREB";"(+385 1) 8886 300, (+385 1) 8886 301";"(+385 1) 8886 441";"fidelta@glpg.eu";"www.fidelta.eu";"predsjednik uprave dr. sc. Adrijana Vinter"
227;"Učiteljski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Savska cesta 77                                             ";"ZAGREB";"(+385 1) 6327-301, 6327-300                                                                        ";"(+385 1) 6177 860                                                                                   ";"dekanat@ufzg.hr ";"www.ufzg.unizg.hr ";"dekan prof. dr. sc. Siniša Opić"
291;"Sveučilište u Osijeku - Odjel za kemiju";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Cara Hadrijana 8/A                                      ";"OSIJEK";"(+385 31) 399 950 ";"(+385 31) 399 969";"info@kemija.unios.hr";"www.kemija.unios.hr";"pročelnica doc. dr. sc. Elvira Kovač-Andrić"
292;"Institut za istraživanje i razvoj održivih eko sustava";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Jagodno 100a";"VELIKA GORICA";"(+385 1) 6168-522                           ";;"ires@ires.hr                                                                            ";"www.ires.hr";"ravnatelj dr. sc. Zoran Pišl"
293;"Arheološki muzej u Zagrebu";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Trg Nikole Šubića Zrinskog 19                               ";"ZAGREB";"(+385 1) 4873-000";"(+385 1) 4873-102    ";"amz@amz.hr                                                                                          ";"www.amz.hr                                                                                          ";"ravnateljica dr. sc. Jacqueline Balen"
300;"Institut za informatičke inovacije, Sveti Križ Začretje";"";"Privatni institut";"Znanstvena ustanova";"Aleja Lavoslava Vukelića 2, Sveti Križ Začretje";"SVETI KRIŽ ZAČRETJE";"(+385 49) 228-846       ";"(0044)207 681 2560                                                                                  ";"janko@svetikriz.com                          ";"www.svetikriz.com                                                                                   ";"ravnatelj dr.sc. Janko Mršić-Flogel"
303;"Sveučilište Jurja Dobrile u Puli ";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Zagrebačka ulica 30                                            ";"PULA";"(+385 52) 377 000";"(+385 52) 216 416";"ured@unipu.hr";"www.unipu.hr";"dekan prof. dr. sc. Alfio Barbieri"
15;"Fakultet političkih znanosti, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Lepušićeva 6                                                ";"ZAGREB";"(+385 1) 4642 000";"(+385 1) 4655 316";"dekanat@fpzg.hr";"www.fpzg.unizg.hr";"dekan izv. prof. dr. sc. Andrija Henjak"
16;"Fakultet organizacije i informatike, Varaždin";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Pavlinska 2                                                 ";"VARAŽDIN";"(+385 42) 390 800";"(+385 42) 213 413";"ured-dekana@foi.hr";"www.foi.unizg.hr";"dekanica prof. dr. sc. Nina Begičević Ređep"
17;"Institut za razvoj i međunarodne odnose";"";"Javni institut";"Znanstvena ustanova";"Ljudevita Farkaša Vukotinovića 2                            ";"ZAGREB";"(+385 1) 4877-461";"(+385 1) 4828 361                                                                                   ";"ured@irmo.hr                                                                                        ";"www.irmo.hr                                                                                         ";"ravnateljica dr. sc. Sanja Tišma"
18;"Pravni fakultet, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ulica Domovinskog rata 8                                   ";"SPLIT";" (+385 21) 393 555";"(+385 21 393 597)";"dekanat@pravst.hr";"www.pravst.unist.hr ";"dekan prof. dr. sc. Mirko Klarić"
19;"Hrvatski institut za povijest, Zagreb";"";"Javni institut";"Znanstvena ustanova";"Opatička 10                                                 ";"ZAGREB";"(+385 1) 4851 721; (+385 1) 4851 720; ";"(+385 1) 4851 725                                                                                   ";"ured@isp.hr                                                                                         ";"www.isp.hr                                                                                          ";"ravnatelj dr. sc. Gordan Ravančić"
20;"Institut za povijest umjetnosti, Zagreb";"";"Javni institut";"Znanstvena ustanova";"Ulica grada Vukovara 68                                     ";"ZAGREB";"(+385 1) 6112 744                                                                              ";"(+385 1) 6112 742                                                                                   ";"ured@ipu.hr                                                                                ";"www.ipu.hr                                                                                         ";"ravnateljica dr. sc. Katarina Horvat-Levaj"
21;"Imunološki zavod d.d.";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Rockefellerova 2                                            ";"ZAGREB";"(+385 1) 6414-100, (+385 1) 6414-258";"(+385 1) 6414-103";"zvijece@imz.hr";"www.imz.hr";"direktor mr. Davorin Gajnik"
22;"Institut za medicinska istraživanja i medicinu rada, Zagreb";"";"Javni institut";"Znanstvena ustanova";"Ksaverska cesta 2                                           ";"ZAGREB";"(+385 1) 4682-502";"(+385 1) 4673 303                                                                                   ";"uprava@imi.hr                                                                                       ";"http://www.imi.hr                                                                                   ";"ravnateljica dr. sc. Ana Lucić Vrdoljak"
23;"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 32";"SPLIT";"(+385 21) 305 777; 701";"(+385 21) 305 776";"dekanat@fesb.hr ";"www.fesb.unist.hr";"dekan prof. dr. sc. Srdjan Podrug"
24;"Hrvatski šumarski institut, Jastrebarsko";"";"Javni institut";"Znanstvena ustanova";"Cvjetno naselje 41                                         ";"JASTREBARSKO";"(+385 1) 6273 000; (+385 1) 6281 492                                                                ";"(+385 1) 6273 035                                                                                   ";"ured@sumins.hr                                                                                      ";"www.sumins.hr                                                                                       ";"ravnateljica dr. sc. Sanja Perić"
67;"Ekonomski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Trg. J. F. Kennedya 6                                       ";"ZAGREB";"(+385 1) 2383 333                                                                                   ";"(+385 1) 2335 633                                                                ";"dekan@efzg.hr; dean@efzg.hr";"www.efzg.unizg.hr";"dekan prof. dr. sc. Jurica Pavičić"
68;"Šumarski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Svetošimunska 25                                            ";"ZAGREB";"(+385 1) 2352 555; 2352 444                                                                         ";"(+385 1) 2352 496";"dekanat@sumfak.unizg.hr ";"www.sumfak.unizg.hr";"dekan prof. dr. sc. Tibor Pentek"
69;"Tehnički fakultet, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Vukovarska 58                                               ";"RIJEKA";"(+385 51) 651 444";"(+385 51) 675 818";"dekanat@riteh.hr";"www.riteh.uniri.hr";"dekan prof. dr. sc. Duško Pavletić"
71;"Ericsson Nikola Tesla d.d.";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Krapinska 45                                                ";"ZAGREB";"(+385 1) 3653-535                                   ";"(+385 1) 3653-156                                 ";"etk.company@ericsson.com                                                                           ";"www.ericsson.com.hr                                                                                 ";"direktor mr.sc. Gordana Kovačević"
73;"Poljoprivredni institut Osijek";"";"Javni institut";"Znanstvena ustanova";"Južno predgrađe 17, p.p. 334                                 ";"OSIJEK";"(+385 31) 515-500";"(+385 31) 515 509                                                                                   ";"institut@poljinos.hr                                                                                ";"www.poljinos.hr                                                                                     ";"ravnatelj dr.sc. Zvonimir Zdunić"
75;"Leksikografski zavod";"";"Ustanova od posebnog značaja za Republiku Hrvatsku";"Znanstvena ustanova";"Frankopanska 26                                             ";"ZAGREB";"(+385 1) 4800 333                                                                                   ";"(+385 1) 4800 399                                                                                   ";"lzmk@lzmk.hr";"www.lzmk.hr                                                                                         ";"ravnatelj dr. sc. Antun Vujić"
76;"Institut za migracije i narodnosti, Zagreb";"";"Javni institut";"Znanstvena ustanova";"Trg Stjepana Radića 3                                       ";"ZAGREB";"(+385 1) 6111-586, (+385 1) 6111-563";"(+385 1) 6119-680";"imin@imin.hr                                                                                        ";"www.imin.hr                                                                                         ";"ravnateljica dr. sc. Marina Perić Kaselj"
79;"Fakultet agrobiotehničkih znanosti, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Vladimira Preloga 1                          ";"OSIJEK";"(+385 31) 554 801";"(+385 31) 554 853";"dekanat@fazos.hr";"www.fazos.unios.hr";"dekan prof. dr. sc. Krunoslav Zmaić"
238;"Katolički bogoslovni fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Zrinsko-Frankopanska 19                                     ";"SPLIT";"(+385 21) 308 300";"(+385 21) 386 144; 386 142";"office@kbf-st.hr";"www.kbf.unist.hr";"dekan prof. dr. sc. Mladen Parlov"
278;"Psihijatrijska bolnica ""Sveti Ivan"" Zagreb";"";"Ostale znanstvenoistraživačke pravne osobe";"Znanstvena ustanova";"Jankomir 11                                                 ";"ZAGREB";"(+385 1) 3794 333";"(+385 1) 3794-116             ";"pbsvi@pbsvi.hr                                                                                      ";"www.pbsvi.hr";"ravnatelj doc.dr.sc. Igor Filipčić"
282;"Katolički bogoslovni fakultet, Đakovo";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Petra Preradovića 17                                        ";"ĐAKOVO";"(+385 31) 802 400";"(+385 31) 802 403";"tajnistvo@djkbf.hr; dekan@djkbf.hr";"www.djkbf.unios.hr";"dekan izv. prof. dr. sc. Vladimir Dugalić"
285;"Sveučilište u Osijeku - Odjel za biologiju ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Cara Hadrijana 8/A                                    ";"OSIJEK";"(+385 31) 399 900";"(+385 31) 399 939 ";"info@biologija.unios.hr ";"www.biologija.unios.hr";"pročelnica doc. dr. sc. Ljiljana Krstin"
