naziv	zupnija	mjesto	adresa	ravnatelj	web	ravnatelj_spol
Osnovna škola SELCA	Splitsko-dalmatinska županija	Selca	ŠETALIŠTE RAJKA ŠTAMBUKA 2	Ivica  Škrpaca	NA	m
OSNOVNA ŠKOLA JESENICE	Splitsko-dalmatinska županija	Dugi Rat	ĐAČKI PUT 10	Iva  Petričević	NA	z
Osnovna škola Josipa Jovića	Splitsko-dalmatinska županija	Aržano	Ulica Petra Žaje 2	Frano  Bilić-Prcić	http://os-jjovica.skole.hr	m
OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA LOVREĆ	Splitsko-dalmatinska županija	Lovreć	DR. MATE ŠIMUNDIĆA 10	Ante  Livajić	NA	m
Osnovna škola STUDENCI	Splitsko-dalmatinska županija	Studenci	Put škole 15.	Ante  Češljar	http://os-studenci.skole.hr	m
Osnovna škola DUGOPOLJE	Splitsko-dalmatinska županija	Dugopolje	Stepinčeva 4	Željko  Šparmajer	NA	m
Osnovna škola Trilj	Splitsko-dalmatinska županija	Trilj	POLJIČKE REPUBLIKE 18	Davor  Hrgović	http://www.os-trilj.skole.hr	m
Osnovna škola Zagvozd	Splitsko-dalmatinska županija	Zagvozd	Trg zabiokovskih junaka Domovinskog rata 4	Tonći  Vuksan	http://os-zagvozd.skole.hr/	m
Osnovna škola Matije Vlačića	Istarska županija	Labin	ZELENICE 4	Edi  Juričić	http://os-labin-001.skole.t-com.hr	m
Osnovna škola Ivo Lola Ribar Labin	Istarska županija	Labin	RUDARSKA 9	Miro  Alilović	www.os-ilribar-labin.skole.hr	m
Osnovna škola Tar - Vabriga - Scuola elementare Torre - Abrega	Istarska županija	Tar	Istarska  21	Andrea  Baksa	http://os-tar.skole.hr/	z
Talijanska osnovna škola - Scuola elementare italiana Bernardo Parentin Poreč - Parenzo	Istarska županija	Poreč - Parenzo	MATKA LAGINJE 6	Ester  Zarli	http://www.os-talijanska-bparentin-porec.skole.hr/	z
OSNOVNA ŠKOLA BLATO	Dubrovačko-neretvanska županija	Blato	1. ULICA  25/2	Tonći  Padovan	\thttp://os-blato.skole.hr/	m
