"Šifra";"Naziv";"Županija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"17-030-506";"GLAZBENA ŠKOLA DR. FRA IVAN GLIBOTIĆ-IMOTSKI";"Splitsko-dalmatinska županija";"21260";"Imotski";"Bruna Bušića 1";"Osnovna škola, Srednja škola, Umjetnička škola";"Splitsko-dalmatinska županija";"Ivan  Glibota";"021/670-052, 021/841-811";"021/670-052";"ogs-ivan.glibotic@st.t-com.hr, ured@gs-drfraiglibotic-imotski.skole.hr";""
"17-047-503";"Glazbena škola Makarska";"Splitsko-dalmatinska županija";"21300";"Makarska";"DON MIHOVILA PAVLINOVIĆA 1";"Osnovna škola, Srednja škola, Umjetnička škola";"GRAD MAKARSKA";"Ivan  Srzić";"021/611-048, 021/611-048, 021/678-711";"021/678-710";"ured@gs-makarska.skole.hr";""
"17-126-525";"GLAZBENA ŠKOLA JOSIPA HATZEA";"Splitsko-dalmatinska županija";"21000";"Split";"TRG HRVATSKE BRATSKE ZAJEDNICE 3";"Osnovna škola, Srednja škola, Umjetnička škola";"Splitsko-dalmatinska županija";"Vesna  Alebić";"021/480-049, 021/348-225";"021/480-080";"ured@ogs-jhatzea-st.skole.hr";"http://www.gsjh.hr/"
"18-069-011";"Škola za odgoj i obrazovanje - Pula";"Istarska županija";"52100";"Pula";"ROVINJSKA 6";"Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola";"Grad Pula";"Višnja  Popović";"052/ 212-339, 052/223-434";"052/212-339";"skoo.pula@gmail.com, ured@ss-odgoj-obrazovanje-pu.skole.hr";"http://ss-odgoj-obrazovanje-pu.skole.hr/"
"18-069-512";"Glazbena škola Ivana Matetića - Ronjgova Pula";"Istarska županija";"52100";"Pula";"CISCUTTIJEVA 22";"Osnovna škola, Srednja škola, Umjetnička škola";"Istarska županija";"Romana  Vuksan Zuban";"052/543 915, 052/543-912, 052/543 406";"052/542-187";"glazbena@imr.hr";"http://www.imr.hr"
"19-018-514";"UMJETNIČKA ŠKOLA LUKE SORKOČEVIĆA DUBROVNIK";"Dubrovačko-neretvanska županija";"20000";"Dubrovnik";"STROSSMAYEROVA 3";"Osnovna škola, Srednja škola, Umjetnička škola";"Dubrovačko-neretvanska županija";;"020/324-636, 020/324-636, 020/324-642, 020/324 604";"";"umjetnicka.skola.luke.sorkocevica@du.t-com.hr";""
"20-010-008";"Umjetnička škola Miroslav Magdalenić Čakovec";"Međimurska županija";"40000";"Čakovec";"VLADIMIRA NAZORA 14";"Osnovna škola, Srednja škola, Umjetnička škola";"GRAD ČAKOVEC";"Senka  Bašek-Šamec";"040/390-801, 040/390-801, 040/390-802, 098/390-802";"040/390-802";"ured@os-umjetnicka-ck.skole.hr, tajnistvo@os-umjetnicka-ck.skole.hr";""
"21-114-589";"ŠKOLA ZA KLASIČNI BALET";"Grad Zagreb županija";"10000";"Zagreb";"ILIRSKI TRG 9";"Osnovna škola, Srednja škola, Umjetnička škola";"Grad Zagreb ";"Marijan  Sivoš";"01/485-13-20, 01/485-12-26";"01/485-13-20";"skola@skolazaklasicnibalet.hr, skola@os-klasicni-balet-zg.skole.hr";"www.skolazaklasicnibalet.hr"
"21-114-590";"ŠKOLA SUVREMENOG PLESA ANE MALETIĆ";"Grad Zagreb županija";"10000";"Zagreb";"Laginjina 13";"Srednja škola, Umjetnička škola";"Grad Zagreb ";"Normela  Krešić-Vrkljan";"01/4670 400, 01/4670 400";"01/4670 400";"skola@skolaanemaletic.hr";"http://ss-suvremenogplesa-amaletic-zg.skole.hr"
"21-114-121";"Umjetnička plesna škola Silvije Hercigonje";"Grad Zagreb županija";"10000";"Zagreb";"ZAGORSKA 16";"Osnovna škola, Srednja škola, Umjetnička škola";"Grad Zagreb ";"Tihana  Sarošević";"01/364-34-46, 3643-436";"01/364-3025";"tajnistvo@plesna-hercigonja.com";""
"21-114-596";"Glazbena škola Zlatka Balokovića";"Grad Zagreb županija";"10000";"Zagreb";"Božidara Magovca 103";"Osnovna škola, Srednja škola, Umjetnička škola";"Grad Zagreb ";"Marjan  Krajna";"01/2399-180, 01/6692-951";"01/239-54-95";"glazbenaskola.zbalokovica@inet.hr";""
"21-114-591";"Glazbena škola Pavla Markovca";"Grad Zagreb županija";"10000";"Zagreb";"TRG  ŽRTAVA  FAŠIZMA 9";"Osnovna škola, Srednja škola, Umjetnička škola";"Grad Zagreb ";"Josip  Vrbanec";"01/45 52 590, 01/45-52-858";"01/45 52 858";"pavla.markovca@zg.t-com.hr, gspm@ss-glazbena-pmarkovca-zg.skole.hr, bruno.grosic29@gmail.com";""
"21-114-592";"Glazbeno učilište Elly Bašić";"Grad Zagreb županija";"10000";"Zagreb";"MLINARSKA 25";"Osnovna škola, Srednja škola, Umjetnička škola";"Grad Zagreb ";"Mirela  Buchberger Karlo";"01/4666 101";"01/466-62-21";"guebasic@zg.t-com.hr";"www.ellybasic.hr"
"21-114-593";"GLAZBENA ŠKOLA VATROSLAVA LISINSKOG";"Grad Zagreb županija";"10000";"Zagreb";"GUNDULIĆEVA 4/1";"Osnovna škola, Srednja škola, Umjetnička škola";"Grad Zagreb ";"Antonio  Mrčela";"01/483-07-64, 483-07-67, 098-9779-374";"01/483-07-67";"ured@ss-glazbena-vlisinskog-zg.skole.hr";""
"21-114-594";"Glazbena škola Blagoja Berse";"Grad Zagreb županija";"10000";"Zagreb";"BRITANSKI TRG 5";"Osnovna škola, Srednja škola, Umjetnička škola";"Grad Zagreb ";"Mislav  Defar";"01/482-35-53;482-35-70, 01/482-35-59";"";"glazbena@bersa.hr";""
"21-114-153";"Centar za odgoj i obrazovanje Vinko Bek";"Grad Zagreb županija";"10000";"Zagreb";"Kušlanova 59a";"Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola, Umjetnička škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";;"01/2382241, 01/2382242, 01/231-00-00, 230-50-54, 01/230-20-47, 01/2382200";"01/2382240, 01/231-00-00";"vinkobe1@post.t-com.hr";""
