naziv;opis;tip_ustanove;maticna_skola;sifra;podsifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web;podrucni_objekti
Osnovna škola Josipa Zorića;Osnovna škola;Matična škola;NA;01-020-004;0-0;Zagrebačka;JOSIPA ZORIĆA 86;10370  Dugo Selo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mara  Mamuza;01/275-36-04, 2753-847;01/277 41 46 ;skola@os-jzorica-dugo-selo.skole.hr;www.os-jzorica-dugo-selo.skole.hr;NA
Osnovna škola Ivan Benković;Osnovna škola;Matična škola;NA;01-020-005;0-0;Zagrebačka;Hrvatskog preporoda 68;10370  Dugo Selo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branko  Goleš;091 / 621 2347 , 091 / 621 2336 , 091 / 621 2337 , 091 / 621 2346 , 091 / 621 2338;NA;ured@os-ibenkovic-dugo-selo.skole.hr;www.os-ibenkovic-dugo-selo.skole.hr;NA
OSNOVNA ŠKOLA ĐURE DEŽELIĆA IVANIĆ GRAD;Osnovna škola, Posebna ustanova odgoja i obrazovanja;Matična škola;NA;01-032-001;0-0;Zagrebačka;Park hrvatskih branitelja 4;10310  Ivanić-Grad; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mileo  Todić;01/288-16-95 , 01/283-04-82;01/288-16-93;ured@os-gjdezelica-ivanicgrad.skole.hr;http://os-gjdezelica-ivanicgrad.skole.hr;NA
Osnovna škola Stjepana Basaričeka;Osnovna škola, Umjetnička škola;Matična škola;NA;01-032-002;0-0;Zagrebačka;Milke Trnine 14;10310  Ivanić-Grad; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vlatka  Koletić;2885-012 , 288-18-80, 288-18-81;NA;ured@os-sbasariceka-ivanicgrad.skole.hr;http://www.os-sbasariceka-ivanicgrad.skole.hr/;NA
OSNOVNA ŠKOLA JOSIPA BADALIĆA GRABERJE IVANIĆKO;Osnovna škola;Matična škola;NA;01-032-003;0-0;Zagrebačka;Zagrebačka 11;10313  Graberje Ivanićko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Martina  Novak;2820110 , 2830154 , 2820-825;NA;ured@os-jbadalica-graberjeivanicko.skole.hr;http://os-jbadalica-graberjeivanicko.skole.hr;NA
Osnovna škola Posavski Bregi;Osnovna škola;Matična škola;NA;01-032-005;0-0;Zagrebačka;SAVSKA 70;10311  Posavski Bregi; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Renata  Koić;01 2829-193 , 01 2821 960;NA;ured@os-posavski-bregi.skole.hr;os-posavski-bregi.skole.hr;NA
Osnovna škola Ljubo Babić;Osnovna škola;Matična škola;NA;01-033-001;0-0;Zagrebačka;Ante i Davida Starčevića 16;10450  Jastrebarsko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Sertić;01/628-12-12, 01/628-46-26 , 01/6284-626;01/628-12-12;ljbabic@os-ljbabic-jastrebarsko.skole.hr , ljbabic@os-jastrebarsko.hr;NA;  Osnovna škola Ljubo Babić - Područna škola Cvetković   , Cvetković 123, 10450 Cvetković ,   Osnovna škola Ljubo Babić - Područna škola Desinec   , TRG SVETOG IVANA 1, 10450 Gornji Desinec ,   Osnovna škola Ljubo Babić - Područna škola Domagović   , Domagović 57, 10450 Domagović ,   Osnovna škola Ljubo Babić - Područna škola Petrovina   , Petrovina 108, 10450 Petrovina ,   Osnovna škola Ljubo Babić - Područna škola Plešivica   , Plešivica 44, 10450 Plešivica ,   Osnovna škola Ljubo Babić - Područna škola Sveta Jana   , Gorica Svetojanska 12, 10453 Gorica Svetojanska ,   Osnovna škola Ljubo Babić - Područna škola Volavje   , Volavje 29, 10450 Volavje ,   Osnovna škola Ljubo Babić - Područna škola Čeglje   , Čeglje 16, 10450 Čeglje
OSNOVNA ŠKOLA BOGUMILA TONIJA;Osnovna škola;Matična škola;NA;01-073-001;0-0;Zagrebačka;IVANA PERKOVCA 90;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milena  Kolarec;01/336-01-51 , 01/336-59-76;01/336-59-76,01/3367-322;ured@os-bogumil-toni-samobor.skole.hr;http://os-bogumil-toni-samobor.skole.hr/skola/kontakti;  OSNOVNA ŠKOLA BOGUMILA TONIJA - Područna škola Farkaševac   , Farkaševac 65/1, 10344 Farkaševac ,   OSNOVNA ŠKOLA BOGUMILA TONIJA - Područna škola Mirnovec   , Črešni 1, 10430 Velika Rakovica
OSNOVNA ŠKOLA MIHAELA ŠILOBODA;Osnovna škola;Matična škola;NA;01-073-002;0-0;Zagrebačka;Sveti Martin pod Okićem 37b;10435  Sveti Martin pod Okićem; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Goran  Lesjak;3876 583 , 3876 593 , 3876 564 , 3382 346 , 3877 415;3336 660;ured@os-msiloboda.skole.hr;NA;  OSNOVNA ŠKOLA MIHAELA ŠILOBODA - Područna škola Klake   , KLAKE 70, 10435 Klake ,   OSNOVNA ŠKOLA MIHAELA ŠILOBODA - Područna škola Pavučnjak   , Ulica mokrice 1, 10450 Pavučnjak
OSNOVNA ŠKOLA SAMOBOR;Osnovna škola;Matična škola;NA;01-073-003;0-0;Zagrebačka;STRAŽNIČKA 14;10430  Samobor; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Goran Ivan  Matoš;01-336-03-14;01-336-60-57;ured@os-samobor.skole.hr;www.os-samobor.skole.hr;  OSNOVNA ŠKOLA SAMOBOR - Područna škola Celine   , Celine 34, 10430 Celine Samoborske ,   OSNOVNA ŠKOLA SAMOBOR - Područna škola Smerovišće   , Smerovišće 24, 10430 Smerovišće
