naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
POMORSKA ŠKOLA;Srednja škola;08-275-501;Primorsko-goranska;NAUTIČKA 14;51222  Bakar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Igor  Kegalj;051/761-211,761-516 , 051/761-211;051/761-516;info@pomorskabakar.hr;www.pomorskabakar.hr
SREDNJA ŠKOLA BEDEKOVČINA;Srednja škola;02-167-501;Krapinsko-zagorska;Ljudevita Gaja 1 ;49221  Bedekovčina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vera  Hrvoj;049/213-514, 213-994;049/213-585;sskola-bedekovcina@kr.t-com.hr;http://ss-bedekovcina.skole.hr/
GIMNAZIJA BELI MANASTIR;Srednja škola;14-001-501;Osječko-baranjska;ŠKOLSKA 3;31300  Beli Manastir; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Veljko  Frank;031/705 050 , 031/703-380 , 031/701-828;031/701-454;ured@gimnazija-beli-manastir.skole.hr;NA
PRVA SREDNJA ŠKOLA BELI MANASTIR;Srednja škola;14-001-502;Osječko-baranjska;ŠKOLSKA 3;31300  Beli Manastir; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marko  Ilijašev;031/700-032 , 099 2345600;031/702-655;ravnatelj@ss-prva-bm.skole.hr , ured@ss-prva-bm.skole.hr;NA
DRUGA SREDNJA ŠKOLA BELI MANASTIR;Srednja škola;14-001-503;Osječko-baranjska;ŠKOLSKA 3;31300  Beli Manastir; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Blaženka  Kalčić;031 658 021 , 031 703 306, 031 705 207 , 031 700 277;031 705 206, 031 705 207;tajnistvo@ss-druga-bm.skole.hr;ss-druga-bm.skole.hr
SREDNJA ŠKOLA KNEZA BRANIMIRA, BENKOVAC;Srednja škola;13-002-501;Zadarska;ANTUNA MIHANOVIĆA 19;23420  Benkovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Maja  Brkljača;023/681-606 , 023/681-402 , 0916223345;023/681-606;ured@ssknezbranimir.hr;www.ssknezbranimir.hr
SREDNJA ŠKOLA BIOGRAD NA MORU;Srednja škola;13-003-501;Zadarska;Augusta Šenoe 29;23210  Biograd na Moru; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Kero;023/383-278 , 023/385-114;023/386-760;ssbnm@ss-biogradnamoru.skole.hr;http://www.ss-biogradnamoru.skole.hr/
GIMNAZIJA BJELOVAR;Srednja škola;07-004-502;Bjelovarsko-bilogorska;MATICE HRVATSKE 17;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;043/220-175 , 043/221-310 , 043/220-176 , 043/221-175 , 043/241-578 , 043/241-088, Mob. 098/9828-690 , 043/220-945;043/220-946;gimnazija-bjelovar@bj.t-com.hr , ured@gimnazija-bjelovar.skole.hr;NA
MEDICINSKA ŠKOLA BJELOVAR;Srednja škola;07-004-503;Bjelovarsko-bilogorska;Poljana dr. Franje Tuđmana 8;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Biljana  Balenović;043/277-082 , 043/277-080 , 043/242-333 , 043/277-083 , 043/277-084;NA;msbj@ss-medicinska-bj.skole.hr;www.medskolabjelovar.hr
KOMERCIJALNA I TRGOVAČKA ŠKOLA BJELOVAR;Srednja škola;07-004-504;Bjelovarsko-bilogorska;Poljana dr. Franje Tuđmana 9;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nataša  Vibiral;043/241-920 , 043/241-276 , 043/220-080, 243-998;043/220-079;kts@ss-trgovacka-bj.skole.hr , tajnistvo@ss-trgovacka-bj.skole.hr;http://www.trgovackaskola-bjelovar.hr
