naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
Umjetnička škola Beli Manastir;Osnovna škola, Umjetnička škola;14-001-003;Osječko-baranjska;Kralja Tomislava 2;31300  Beli Manastir; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Miloš  Grubić;031/705-027 , 0992515848 , 031/705-028 , 031/705-034;031/705-027;usbm.bm@gmail.com;www.usbm.hr
Osnovna škola Biograd;Osnovna škola, Umjetnička škola;13-003-001;Zadarska;Dr. Franje Tuđmana 27;23210  Biograd na Moru; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jordanko  Miloš;383-030 , 385-024 , 386-729;657-405;os.biograd@os-biogradnamoru.skole.hr;os-biogradnamoru.skole.hr
GLAZBENA ŠKOLA VATROSLAVA LISINSKOG BJELOVAR;Osnovna škola, Srednja škola, Umjetnička škola;07-004-511;Bjelovarsko-bilogorska;Vatroslava Lisinskog 1;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nevenka  Presečan Arvay;nena.presecan@gmail.com , 043/244-416 , 043/243-416;043/241-407;glazbena@lisinski-bj.hr , nevenka.presecan-arvay@skole.hr;www.lisinski-bj.hr
OSNOVNA ŠKOLA BLATO;Osnovna škola, Umjetnička škola;19-511-001;Dubrovačko-neretvanska;1. ULICA  25/2;20271  Blato; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tonći  Padovan;020/851-233, 851-333 , 020/851-333;NA;tonci.padovan@skole.hr , os-blato@os-blato.skole.hr;	http://os-blato.skole.hr/ 
OSNOVNA ŠKOLA PAVAO BELAS;Osnovna škola, Umjetnička škola;01-151-003;Zagrebačka;Ilije Gregorića 28;10291  Brdovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Andrej  Peklić;33 15 216 , 01/3315439;01/3398420;osnovna.skola-pavao.belas@zg.t-com.hr;http://os-pavao-belas.skole.hr/
OSNOVNA ŠKOLA FRANE PETRIĆA;Osnovna škola, Umjetnička škola;08-048-001;Primorsko-goranska;Šetalište 20. travnja 56;51557  Cres; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Pope;051/571-211 , 051/571-211 , 051/571-136;051/571-136;zeljka.matovinovic@skole.hr , jelena.sudar@skole.hr , os-cres@os-fpetrica-cres.skole.hr  , josip.pope@skole.hr;NA
OSNOVNA ŠKOLA VLADIMIRA NAZORA CRIKVENICA;Osnovna škola, Umjetnička škola;08-008-002;Primorsko-goranska;VINODOLSKA 12;51260  Crikvenica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Deana  Čandrlić-Zorica;051/246-165 , 051/786-957 , 051/781-091 , 051/784-045;051/781-091;skola@os-vnazora-crikvenica.skole.hr;NA
Umjetnička škola Miroslav Magdalenić Čakovec;Osnovna škola, Srednja škola, Umjetnička škola;20-010-008;Međimurska;VLADIMIRA NAZORA 14;40000  Čakovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Senka  Bašek-Šamec;040/390-801 , 040/390-801 , 040/390-802;NA;ured@os-umjetnicka-ck.skole.hr , tajnistvo@os-umjetnicka-ck.skole.hr;NA
GLAZBENA ŠKOLA BRUNE BJELINSKOG DARUVAR;Osnovna škola, Srednja škola, Umjetnička škola;07-012-504;Bjelovarsko-bilogorska;Trg Presvetog Trojstva 8;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vanda  Cegledi;099/2158-111 , 043/335-625 , 043/440-518;043/440-518;ured@gs-bbjelinskog-daruvar.skole.hr;NA
Osnovna glazbena škola Ive Tijardovića Delnice;Osnovna škola, Umjetnička škola;08-013-003;Primorsko-goranska;ŠKOLSKA 25;51300  Delnice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Suzana  Valković Brašnić;051/814-071;051/814-071;ured@ogs-itijardovica-delnice.skole.hr , ogs-ive-tijardovica@ri.t-com.hr;NA
