naziv;nadredjena_ustanova;vrsta_ustanove;tip_financiranja;upisnik;adresa;mjesto;telefon;faks;e_mail;web;celnik
Agronomski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Svetošimunska cesta 25;Zagreb;(+385 1) 2393 777;(+385 1) 2315 300;dekanat@agr.hr;www.agr.unizg.hr;dekan prof. dr. sc. Ivica Kisić
Akademija dramske umjetnosti, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Javno;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 5;Zagreb;"(+385 1) 4828 506; 4828 507";(+385 1) 4828 508;dekanat@adu.hr;www.adu.unizg.hr;dekan doc. Davor Švaić
Akademija likovnih umjetnosti, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Javno;Znanstvena ustanova i visoko učilište;Ilica 85;Zagreb;(+385 1) 3777-300;(+385 1) 3773 401;alu@alu.hr;www.alu.unizg.hr;dekan Tomislav Buntak
Akademija primijenjenih umjetnosti u Rijeci;Sveučilište u Rijeci;Umjetnička akademija;Javno;Visoko učilište;Slavka Krautzeka 83;Rijeka;(+385 51) 228 880;(+385 51) 322 363;dekanat@apuri.hr;www.apuri.uniri.hr;dekanica mr. sc. Letricija Linardić
Akademija za umjetnost i kulturu, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Umjetnička akademija;Javno;Visoko učilište;Kralja Petra Svečića 1/f;Osijek;(+385 31 253 333);(+385 31 253 353);aukos@aukos.hr;www.aukos.hr;dekanica prof. dr. sc. Helena Sablić Tomić
Arhitektonski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 222;(+385 1) 4838 810;dekan@arhitekt.hr;www.arhitekt.unizg.hr;dekan prof. dr. sc. Bojan Baletić
Edukacijsko-rehabilitacijski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Borongajska cesta 83f;Zagreb;(+385 1) 2457 000;(+385 1) 2457 559;dekan@erf.unizg.hr;www.erf.unizg.hr;dekan dr. sc. Ante Bilić-Prcić
Edward Bernays Visoka škola za komunikacijski menadžment, Zagreb;NA;Visoka škola;Privatno;Visoko učilište;Ratkajev prolaz 8;Zagreb;(+385 1) 555 1212;(+385 1) 555 1779;info@bernays.hr;www.bernays.hr;dekan doc. dr. sc. Damir Jugo
EFFECTUS poduzetnički studiji - visoko učilište, Zagreb;NA;Visoka škola;Privatno;Znanstvena ustanova i visoko učilište;Trg J. F. Kennedya 2;Zagreb;(+385 1)  6117 777;(+385 1) 6117 022;referada@effectus.com.hr;www.effectus.com.hr;v.d. dekan dr. sc. Đuro Horvat
Ekonomski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Gajev trg 7;Osijek;(+385 31) 224 400;(+385 31) 211 604;ured@efos.hr;www.efos.unios.hr;dekan dr. sc. Boris Crnković
Ekonomski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ivana Filipovića 4;Rijeka;"(+385 51) 355 111; (+385 51) 355 100";NA;efri@efri.hr;www.efri.uniri.hr;dekan prof. dr. sc. Alen Host
Ekonomski fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Cvite Fisković 5;Split;(+385 21) 430 601;(+385 21) 430 701;dekanat@efst.hr;www.efst.unist.hr;dekanica prof. dr. sc. Maja Fredotović
Ekonomski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Trg. J. F. Kennedya 6;Zagreb;(+385 1) 2383 333;(+385 1) 2335 633;"dekan@efzg.hr; dean@efzg.hr";www.efzg.unizg.hr;dekan prof. dr. sc. Jurica Pavičić
Europska poslovna škola Zagreb, Zagreb;NA;NA;Privatno;Visoko učilište;Selska cesta 119;NA;(+385 1) 4002 296;(+385 1) 4002 302;info@ebus.hr;ebus.hr;dekan Ivica Katavić
Fakultet agrobiotehničkih znanosti, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Vladimira Preloga 1;Osijek;(+385 31) 554 801;(+385 31) 554 853;dekanat@fazos.hr;www.fazos.unios.hr;dekan prof. dr. sc. Krunoslav Zmaić
Fakultet dentalne medicine, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Visoko učilište;Krešimirova 40/42;Rijeka;(+385 51) 345 631;(+385 51) 406 588;ured@uniri.hr;www.uniri.hr;dekanica prof. dr. sc. Sonja Pezelj-Ribarić
Fakultet elektrotehnike i računarstva, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Unska 3;Zagreb;(+385 1) 6129 999;(+385 1) 6170 007;fer@fer.hr;www.fer.unizg.hr;dekan prof. dr. sc. Gordan Gledec
Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Kneza Trpimira 2b;Osijek;(+385 31) 224 600;(+385 31) 224 605;ferit@ferit.hr;www.ferit.unios.hr;dekan izv. prof. dr. sc. Tomislav Matić
Fakultet elektrotehnike, strojarstva i brodogradnje, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 32;Split;"(+385 21) 305 777; 701";(+385 21) 305 776;dekanat@fesb.hr;www.fesb.unist.hr;dekan prof. dr. sc. Srdjan Podrug
Fakultet filozofije i religijskih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Jordanovac 110, pp 169;Zagreb;(+385 1) 2354 222;NA;"tajnistvo@ffrz.unizg.hr;emanuela.herceg@ffrz.unizg.hr";www.ffrz.unizg.hr;dekan prof. dr. sc. Ivan Koprek
Fakultet građevinarstva, arhitekture i geodezije, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Matice hrvatske 15;Split;(+385 21) 303 333;NA;info@gradst.hr;www.gradst.unist.hr;dekan izv. prof. dr. sc. Nikša Jajac
Fakultet hrvatskih studija, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Borongajska cesta 83d;Zagreb;(+385 1) 2457 600;(+385 1) 2457 636;"dekanov.ured@hrstud.hr;";www.hrstud.unizg.hr;NA
Fakultet kemijskog inženjerstva i tehnologije, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Marulićev trg 19;Zagreb;"(+385 1) 4597 281; (+385 1) 4597 222";(+385 1) 4597 260;office@fkit.unizg.hr;www.fkit.unizg.hr;dekan prof. dr. sc. Ante Jukić
Fakultet organizacije i informatike, Varaždin;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Pavlinska 2;Varaždin;(+385 42) 390 800;(+385 42) 213 413;ured-dekana@foi.hr;www.foi.unizg.hr;dekanica prof. dr. sc. Nina Begičević Ređep
Fakultet političkih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Lepušićeva 6;Zagreb;(+385 1) 4642 000;(+385 1) 4655 316;dekanat@fpzg.hr;www.fpzg.unizg.hr;dekan izv. prof. dr. sc. Andrija Henjak
Fakultet prometnih znanosti, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Vukelićeva 4;Zagreb;(+385 1) 2380 222;(+385 1) 2314 415;dekanat@fpz.hr;www.fpz.unizg.hr;dekan dr. sc. Tomislav Josip Mlinarić
Fakultet strojarstva i brodogradnje, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ivana Lučića 5;Zagreb;(+385 1) 6168 220;(+385 1) 6156 940;dekanat@fsb.hr;www.fsb.unizg.hr;dekan prof. dr. sc. Dubravko Majetić
Fakultet šumarstva i drvne tehnologije, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Svetošimunska cesta 25;Zagreb;(+385 1) 2352 555;(+385 1) 2318 616;dekanat@sumfak.unizg.hr;www.sumfak.unizg.hr;dekan prof. dr. sc. Tibor Pentek
Fakultet za dentalnu medicinu i zdravstvo, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Crkvena 21;Osijek;(+385 31) 512 800;(+385 31) 512 833;info@fdmz.hr;www.fdmz.hr;ravnatelj prof. dr. sc. Aleksandar Včev
Fakultet za menadžment u turizmu i ugostiteljstvu, Opatija;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Naselje Ika, Primorska 46;Opatija;(+385 51) 294 706;(+385 51) 291 695;dekanat@fthm.hr;www.fthm.uniri.hr;dekanica prof. dr. sc. Sandra Janković
Fakultet za odgojne i obrazovne znanosti, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica cara Hadrijana 10;Osijek;(+385 31) 321 700;(+385 31) 321 899;helpdesk@foozos.hr;www.foozos.hr;dekan prof. dr. sc. Damir Matanović
Fakultet zdravstvenih studija, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Viktora Cara Emina 5;Rijeka;(+385 51) 688 266;(+385 51) 554 950;dekanatfzsri@uniri.hr;www.fzsri.uniri.hr;dekanica prof. dr. sc. Daniela Malnar
