naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
"Dječja igraonica udruga ""MAKI""";"Udruga ""Zajednica športskih udruga općine Andrijaševci"" , ZSU  rokovci-andrijaševci";Vukovarsko-srijemska  županija ;Ulica Matije Gupca 8;Andrijaševci;032 372 504;svjetlana.drazenovic@gmail.com;NA
Dječji vrtić Bambi Rokovci-Andrijaševci;OPĆINA ANDRIJAŠEVCI;Vukovarsko-srijemska  županija ;Matije Gupca 8;Andrijaševci;0981861755;bambi@andrijasevci.hr;NA
"Dječji vrtić ""Regoč"" ";NA;Vukovarsko-srijemska  županija ;Braće Radića 15 B;Babina Greda;0332 854-400;babinagreda@gmail.com;NA
"Dječji vrtić ""Bakar""";Grad Bakar;Primorsko-goranska županija ;Lokaj 193a;Bakar-dio;"051/761-126;  545-544";djecji.vrtic.bakar@ri.t-com.hr; PO Hreljin, Hreljin 267a, 51226 Hreljin ,  PO Škrljevo, ŠKRLJEVO 203B, 51223 Škrljevo ,  PO Praputnjak, Praputnjak 106, 51223 Praputnjak
"Dječji vrtić ""Tratinčica""";OPĆINSKO VIJEĆE OPĆINE BARBAN;Istarska županija ;Barban 133;Barban;052/567-497, 052/567-455;pubarbanbb@gmail.com; PO Patuljci, Barban 150, 52207 Barban ,  PO Leptirić, Cvitići 27, 52207 Sutivanac
"DJEČJI VRTIĆ ""POTOČIĆ"" BELAJSKE POLJICE";OPĆINA BARILOVIĆ;Karlovačka županija ;BELAJSKE POLJICE 105B;Barilović;047/742-310, 098/91-29355, 091;vrtic.bel.poljice@gmail.com;NA
Program predškole pri OŠ Barilović;OPĆINA BARILOVIĆ;Karlovačka županija ;Barilović 96;Barilović;047/847-191;ured@os-barilovic.skole.hr; PO Belaj, Belaj 30,  
"Dječji vrtić ""Mala oaza""";Karin Linet Kosir;Varaždinska županija ;Dravska bb;Bartolovec;098 1828 368;dvmalaoaza@gmail.com;NA
"Dječji vrtić ""Ježić""";0PĆINA BAŠKA VODA , OPĆINA BAŠKA VODA ;Splitsko-dalmatinska županija ;Podspiline 2;Baška Voda;021/620 444;djecji.vrtic.jezic.baska.voda@st.t-com.hr;NA
"Dječji vrtić ""Bedekovčina""";Općina Bedekovčina;Krapinsko-zagorska županija ;Ljudevita Gaja 13;Bedekovčina;049/214-875;djecji.vrtic.bedekovcina@kr.t-com.hr;NA
