naziv;nadredjena_ustanova;vrsta_ustanove;upisnik;adresa;mjesto;telefon;faks;e_mail;web;celnik
Agronomski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Svetošimunska cesta 25;Zagreb;(+385 1) 2393 777;(+385 1) 2315 300;dekanat@agr.hr;www.agr.unizg.hr;dekan prof. dr. sc. Ivica Kisić
Akademija dramske umjetnosti, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 5;Zagreb;"(+385 1) 4828 506; 4828 507";(+385 1) 4828 508;dekanat@adu.hr;www.adu.unizg.hr;dekan doc. Davor Švaić
Akademija likovnih umjetnosti, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Znanstvena ustanova i visoko učilište;Ilica 85;Zagreb;(+385 1) 3777-300;(+385 1) 3773 401;alu@alu.hr;www.alu.unizg.hr;dekan Tomislav Buntak
Akademija medicinskih znanosti Hrvatske;NA;NA;Znanstvena ustanova;Praška 2/III. , Zagreb;Zagreb;(+385 1) 4828 662;(+385 1) 4828 038;amzh@zg.t-com.hr;www.amzh.hr;predsjednica prof. dr. sc. Alemka Markotić
Akademija tehničkih znanosti;NA;NA;Znanstvena ustanova;Andrije Kačića Miošića 28;Zagreb;(+385 1) 4922-559;(+385 1) 4922-569;hatz@hatz.hr;www.hatz.hr;predsjednik red. prof. dr. sc. Stanko Tonković
Arheološki muzej u Zagrebu;NA;NA;Znanstvena ustanova;Trg Nikole Šubića Zrinskog 19;Zagreb;(+385 1) 4873-000;NA;amz@amz.hr;www.amz.hr;ravnateljica doc. dr. sc. Jacqueline Balen
Arhitektonski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Fra Andrije Kačića Miošića 26;Zagreb;(+385 1) 4639 222;(+385 1) 4838 810;dekan@arhitekt.hr;www.arhitekt.unizg.hr;dekan prof. dr. sc. Bojan Baletić
Bc Institut za oplemenjivanje i proizvodnju bilja, d.d.;NA;NA;Znanstvena ustanova;Rugvica, Dugoselska 7;Zagreb;(+385 1) 2781-510;NA;bc-uprava@bc-institut.hr;www.bc-institut.hr;direktor Kristijan Puškarić
BICRO BIOCENTAR d.o.o.;NA;NA;Znanstvena ustanova;Borongajska cesta 83H;Zagreb;(+385 1) 6458 640;NA;info@biocentre.hr;www.biocentre.hr;član uprave dr. sc. Marija Lovrić
Brodarski institut d.o.o.;NA;NA;Znanstvena ustanova;Avenija V. Holjevca 20;Zagreb;(+385 1) 6550-953;NA;brod.inst@hrbi.hr;NA;direktor dr. sc. Ognjen Kuljača
Centar za kliničku primjenu neuroznanosti;NA;NA;Znanstvena ustanova;Šalata 10;Zagreb;(+385 1) 4596 868;(+385 1) 4596 945;ckpn@hiim.hr;NA;ravnatelj dr. sc. Mario Vukšić
Centar za politološka istraživanja d.o.o, Zagreb;NA;NA;Znanstvena ustanova;Gupčeva 14a;Zagreb;(+385 1) 3863-113;NA;cpi@cpi.hr;www.cpi.hr;voditelj dr. sc. Anđelko Milardović
Dječja bolnica Srebrnjak;NA;NA;Znanstvena ustanova;Srebrnjak 100;Zagreb;(+385 1) 6391-100, (+385 1) 6391-115;(+385 1) 6391-188;bolnica@bolnica-srebrnjak.hr;www.bolnica-srebrnjak.hr;ravnatelj doc. dr. sc. Boro Nogalo
Državni hidrometeorološki zavod;NA;NA;Znanstvena ustanova;Ravnice 48;Zagreb;(+385 1) 4565-717;NA;dhmz@cirus.dhz.hr;www.meteo.hr;ravnateljica dr. sc. Branka Ivančan-Picek
Duhanski institut Zagreb;NA;NA;Znanstvena ustanova;Svetošimunska cesta 25;Zagreb;(+385 1) 2393 666;(+385 1) 2393 670;duhanski@agr.hr;NA;direktor dr. sc. Miroslav Čavlek
Edukacijsko-rehabilitacijski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Borongajska cesta 83f;Zagreb;(+385 1) 2457 000;(+385 1) 2457 559;dekan@erf.unizg.hr;www.erf.unizg.hr;dekan dr. sc. Ante Bilić-Prcić
EFFECTUS poduzetnički studiji - visoko učilište, Zagreb;NA;Visoka škola;Znanstvena ustanova i visoko učilište;Trg J. F. Kennedya 2;Zagreb;(+385 1)  6117 777;(+385 1) 6117 022;referada@effectus.com.hr;www.effectus.com.hr;v.d. dekan dr. sc. Đuro Horvat
Ekonomski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Gajev trg 7;Osijek;(+385 31) 224 400;(+385 31) 211 604;ured@efos.hr;www.efos.unios.hr;dekan dr. sc. Boris Crnković
