naziv;opis;sifra;podsifra;zupanija;mjesto;e_mail;web;url
Osnovna škola Josipa Zorića;Osnovna škola;01-020-004;0-0;Zagrebačka;10370  Dugo Selo;skola@os-jzorica-dugo-selo.skole.hr;www.os-jzorica-dugo-selo.skole.hr;www.os-jzorica-dugo-selo.skole.hr
Osnovna škola Ivan Benković;Osnovna škola;01-020-005;0-0;Zagrebačka;10370  Dugo Selo;ured@os-ibenkovic-dugo-selo.skole.hr;www.os-ibenkovic-dugo-selo.skole.hr;www.os-ibenkovic-dugo-selo.skole.hr
OSNOVNA ŠKOLA ĐURE DEŽELIĆA IVANIĆ GRAD;Osnovna škola, Posebna ustanova odgoja i obrazovanja;01-032-001;0-0;Zagrebačka;10310  Ivanić-Grad;ured@os-gjdezelica-ivanicgrad.skole.hr;http://os-gjdezelica-ivanicgrad.skole.hr;http://os-gjdezelica-ivanicgrad.skole.hr
Osnovna škola Stjepana Basaričeka;Osnovna škola, Umjetnička škola;01-032-002;0-0;Zagrebačka;10310  Ivanić-Grad;ured@os-sbasariceka-ivanicgrad.skole.hr;http://www.os-sbasariceka-ivanicgrad.skole.hr/;http://www.os-sbasariceka-ivanicgrad.skole.hr/
OSNOVNA ŠKOLA JOSIPA BADALIĆA GRABERJE IVANIĆKO;Osnovna škola;01-032-003;0-0;Zagrebačka;10313  Graberje Ivanićko;ured@os-jbadalica-graberjeivanicko.skole.hr;http://os-jbadalica-graberjeivanicko.skole.hr;http://os-jbadalica-graberjeivanicko.skole.hr
Osnovna škola Posavski Bregi;Osnovna škola;01-032-005;0-0;Zagrebačka;10311  Posavski Bregi;ured@os-posavski-bregi.skole.hr;os-posavski-bregi.skole.hr;os-posavski-bregi.skole.hr
Osnovna škola Ljubo Babić;Osnovna škola;01-033-001;0-0;Zagrebačka;10450  Jastrebarsko;ljbabic@os-ljbabic-jastrebarsko.skole.hr , ljbabic@os-jastrebarsko.hr;NA;www.os-ljbabic-jastrebarsko.skole.hr
OSNOVNA ŠKOLA BOGUMILA TONIJA;Osnovna škola;01-073-001;0-0;Zagrebačka;10430  Samobor;ured@os-bogumil-toni-samobor.skole.hr;http://os-bogumil-toni-samobor.skole.hr/skola/kontakti;http://os-bogumil-toni-samobor.skole.hr/skola/kontakti
OSNOVNA ŠKOLA MIHAELA ŠILOBODA;Osnovna škola;01-073-002;0-0;Zagrebačka;10435  Sveti Martin pod Okićem;ured@os-msiloboda.skole.hr;NA;www.os-msiloboda.skole.hr
OSNOVNA ŠKOLA SAMOBOR;Osnovna škola;01-073-003;0-0;Zagrebačka;10430  Samobor;ured@os-samobor.skole.hr;www.os-samobor.skole.hr;www.os-samobor.skole.hr
OSNOVNA ŠKOLA MILANA LANGA;Osnovna škola;01-073-004;0-0;Zagrebačka;10432  Bregana;ured@osmilanalanga.hr;http://os-mlanga-bregana.skole.hr/;http://os-mlanga-bregana.skole.hr/
Osnovna škola Nova škola;Osnovna škola;01-073-005;0-0;Zagrebačka;10430  Samobor;info@novaskola.hr;http://www.novaskola.hr;http://www.novaskola.hr
OSNOVNA ŠKOLA RUDE;Osnovna škola;01-073-006;0-0;Zagrebačka;10430  Rude;ured@os-rude.skole.hr;	http://os-rude.skole.hr;	http://os-rude.skole.hr
OSNOVNA ŠKOLA EUGENA KVATERNIKA;Osnovna škola;01-087-001;0-0;Zagrebačka;10410  Velika Gorica;ured@os-ekvaternika-velikagorica.skole.hr;www.os-ekvaternika-velikagorica.skole.hr;www.os-ekvaternika-velikagorica.skole.hr
OSNOVNA ŠKOLA JURJA HABDELIĆA;Osnovna škola;01-087-002;0-0;Zagrebačka;10410  Velika Gorica;os-jurja.habdelica@zg.t-com.hr	 , ured@os-jhabdelica-velikagorica.skole.hr;http://os-jhabdelica-velikagorica.skole.hr;http://os-jhabdelica-velikagorica.skole.hr
Osnovna škola Vukovina;Osnovna škola;01-087-003;0-0;Zagrebačka;10419  Gornje Podotočje;ured@os-vukovina.skole.hr;http://www.os-vukovina.skole.hr/;http://www.os-vukovina.skole.hr/
Osnovna škola Nikole Hribara;Osnovna škola;01-087-004;0-0;Zagrebačka;10410  Velika Gorica;velikagorica@os-nhribara-velikagorica.skole.hr;www.osnikolehribara.hr;www.osnikolehribara.hr
Osnovna škola Eugena Kumičića;Osnovna škola;01-087-005;0-0;Zagrebačka;10410  Velika Gorica;ured@os-ekumicica-velikagorica.skole.hr;http://os-ekumicica-velikagorica.skole.hr/;http://os-ekumicica-velikagorica.skole.hr/
